emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
reproach,emotion_match,1.2999999999999998,0.4387963334193009,11.21355594318465,2.962650097528864,0.012670347947909883,0.3364550862751734,2.263544913724826,100,18,0.8235726166141424,False
reproach,coordination,0.5800000000000001,0.37371409154890356,11.21355594318465,1.5519885739285866,0.14841521140152406,-0.2406319986615485,1.4006319986615487,100,18,1.0,False
reproach,believability,0.9399999999999995,0.4310400857873379,11.21355594318465,2.1807716520912326,0.05134406869421307,-0.006513110160901614,1.8865131101609007,100,18,1.0,False
resentment,naturalness,1.3000000000000007,0.3860915262818736,11.21355594318465,3.367077264086108,0.006124854532917963,0.4521886167957879,2.1478113832042136,100,18,0.4654889445017652,False
resentment,emotion_match,1.58,0.46130250378683196,11.21355594318465,3.425084379620273,0.005522185291086774,0.5670341947739297,2.5929658052260702,100,18,0.4307304527047684,False
resentment,coordination,0.7200000000000006,0.416994537667395,11.21355594318465,1.7266413225160522,0.11164211225981413,-0.19567074567259923,1.6356707456726005,100,18,1.0,False
resentment,believability,1.2400000000000002,0.47588980984163887,11.21355594318465,2.6056452026418326,0.024110249080495468,0.19500219385785678,2.284997806142144,100,18,1.0,False
satisfaction,naturalness,1.2800000000000002,0.49965321307216015,11.21355594318465,2.561776781399667,0.02608627117118319,0.18282056750483733,2.377179432495163,100,18,1.0,False
satisfaction,emotion_match,2.0600000000000005,0.5502484287422668,11.21355594318465,3.743763530063423,0.0031406660632538504,0.8517194506430494,3.268280549356952,100,18,0.26067528325006956,False
satisfaction,coordination,0.9799999999999995,0.4361651063530874,11.21355594318465,2.2468555730972737,0.045708921941169794,0.022232950089004055,1.937767049910995,100,18,1.0,False
satisfaction,believability,1.5,0.5639700543665614,11.21355594318465,2.6597156859414572,0.02187640626312344,0.26158838169063037,2.7384116183093696,100,18,1.0,False
shame,naturalness,1.1399999999999997,0.37838252249982873,11.21355594318465,3.012824145440057,0.01157430661709994,0.309116678446149,1.9708833215538504,100,18,0.775478543345696,False
shame,emotion_match,1.6800000000000002,0.4249548995677856,11.21355594318465,3.9533607018267105,0.002178230937203607,0.7468492399417722,2.613150760058228,100,18,0.1851496296623066,False
shame,coordination,0.6399999999999997,0.3861836063037604,11.21355594318465,1.6572427973459725,0.12515546633570201,-0.2080135800549784,1.4880135800549779,100,18,1.0,False
shame,believability,0.9400000000000004,0.4250594729629674,11.21355594318465,2.211455242833504,0.04864982473744878,0.006619609119077996,1.8733803908809228,100,18,1.0,False
