emotion,outcome,n_ratings,n_workers,status,mean_expression,mean_minus_4,se,z,p_greater,mean_ci95_low,mean_ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
resentment,naturalness,50,15,ok,5.034609316976188,1.034609316976188,0.3673215443908742,2.816631185333468,0.002426510957636827,4.314659089970075,5.754559543982301,,0.03882417532218923,True,True
resentment,emotion_match,50,15,ok,5.0339978464381545,1.0339978464381545,0.27952796911919253,3.6990854607370296,0.00010818886966603838,4.486123026964537,5.581872665911772,,0.0018392107843226524,True,True
resentment,coordination,50,15,ok,4.816158169630521,0.8161581696305209,0.36042384621493073,2.264439986980837,0.011773533461127141,4.109727431049256,5.522588908211786,,0.16482946845577998,False,True
resentment,believability,50,15,ok,4.91268129871659,0.9126812987165902,0.32313643097116657,2.824445686837547,0.002368123734536582,4.279333894013104,5.546028703420077,,0.03788997975258531,True,True
satisfaction,naturalness,50,15,ok,5.142251547610838,1.1422515476108384,0.3655530151519923,3.1247219972618874,0.0008898658601761183,4.425767637912934,5.858735457308743,,0.016907451343346248,True,True
satisfaction,emotion_match,50,15,ok,5.618703659503506,1.618703659503506,0.33100534784804553,4.89026437194182,5.035031852228747e-07,4.9699331777213365,6.267474141285676,,9.56656051923462e-06,True,True
satisfaction,coordination,50,15,ok,5.080157792367186,1.080157792367186,0.35662092118528255,3.028868269357617,0.0012273584621380607,4.381180786844032,5.77913479789034,,0.023319810780623153,True,True
satisfaction,believability,50,15,ok,5.188529204322254,1.1885292043222542,0.3649605476658233,3.2565963963056435,0.0005637831823895414,4.47320653089724,5.903851877747268,,0.010148097283011744,True,True
shame,naturalness,50,15,ok,4.757793859152866,0.7577938591528657,0.3697776966143331,2.0493227852604146,0.02021528102436049,4.033029573788773,5.482558144516958,,0.19352056910386425,False,True
shame,emotion_match,50,15,ok,4.965503176520114,0.9655031765201141,0.33471578516256867,2.884546290672181,0.0019598906319280855,4.3094602376014794,5.621546115438749,,0.019598906319280854,True,True
shame,coordination,50,15,ok,4.515520922376413,0.515520922376413,0.37142462940534776,1.3879556754267048,0.08257527132121667,3.7875286487419313,5.243513196010895,,0.4295880768601192,False,True
shame,believability,50,15,ok,4.505426868885643,0.5054268688856434,0.37063548930518964,1.3636763976195045,0.08633471780350216,3.7789813098474716,5.231872427923815,,0.518008306821013,False,True
